Date,Open Price,High Price,Low Price,Close Price,,EMA_26,EMA_12,,MACD_values,signal_line,Histogram value,,BUY,SELL
07-Dec-23,3616.95,3631,3592.35,3616.7,,3754.002197,3698.976516,,-55.02568135,-41.78427044,-13.24141092,,FALSE,FALSE
06-Dec-23,3530.45,3612.4,3526.9,3603.35,,3742.842775,3684.264744,,-58.57803102,-45.14302256,-13.43500847,,FALSE,FALSE
05-Dec-23,3537,3537,3503,3529.9,,3727.069236,3660.516322,,-66.55291432,-49.42500091,-17.12791341,,FALSE,FALSE
04-Dec-23,3533.05,3545,3499,3509.65,,3710.964108,3637.306119,,-73.6579891,-54.27159854,-19.38639055,,FALSE,FALSE
01-Dec-23,3495.1,3517.15,3490,3509.6,,3696.048248,3617.659024,,-78.38922445,-59.09512372,-19.29410072,,FALSE,FALSE
30-Nov-23,3507.45,3515,3481.3,3493.4,,3681.037267,3598.542251,,-82.49501597,-63.77510217,-18.71991379,,FALSE,FALSE
29-Nov-23,3475.15,3517,3475.15,3513.1,,3668.597469,3585.397289,,-83.20018008,-67.66011775,-15.54006233,,FALSE,FALSE
28-Nov-23,3453,3480,3431.6,3470.45,,3653.919879,3567.713091,,-86.20678809,-71.36945182,-14.83733627,,FALSE,FALSE
24-Nov-23,3499,3504.9,3452.25,3457.6,,3639.377666,3550.772615,,-88.60505034,-74.81657153,-13.78847882,,FALSE,FALSE
23-Nov-23,3539.75,3543.4,3499,3508.95,,3629.716357,3544.338367,,-85.37799028,-76.92885528,-8.449135001,,FALSE,FALSE
22-Nov-23,3492.05,3532.45,3481,3529.85,,3622.318849,3542.109387,,-80.20946185,-77.58497659,-2.624485258,,FALSE,FALSE
21-Nov-23,3523,3539.4,3502,3510.3,,3614.021157,3537.215635,,-76.80552121,-77.42908551,0.623564307,,TRUE,FALSE
20-Nov-23,3493.95,3533.1,3493,3519.3,,3607.004775,3534.459384,,-72.54539083,-76.45234658,3.906955745,,FALSE,FALSE
17-Nov-23,3518.95,3524.5,3494.05,3502.65,,3599.274791,3529.565632,,-69.70915888,-75.10370904,5.39455016,,FALSE,FALSE
16-Nov-23,3467,3529,3415.5,3498,,3591.772955,3524.709381,,-67.06357363,-73.49568195,6.432108329,,FALSE,FALSE
15-Nov-23,3385.1,3413,3360,3399.3,,3577.515699,3505.41563,,-72.10006867,-73.2165593,1.116490626,,FALSE,FALSE
13-Nov-23,3350,3357,3327,3331.7,,3559.307129,3478.690149,,-80.61697996,-74.69664343,-5.920336532,,FALSE,TRUE
12-Nov-23,3359.95,3360,3340,3358.25,,3544.414008,3460.160895,,-84.25311297,-76.60793734,-7.645175631,,FALSE,FALSE
10-Nov-23,3343.95,3347,3322.35,3332.8,,3528.738896,3440.566911,,-88.17198512,-78.92074689,-9.251238225,,FALSE,FALSE
09-Nov-23,3391,3392.5,3343,3348.25,,3515.369348,3426.364309,,-89.00503897,-80.93760531,-8.067433659,,FALSE,FALSE
08-Nov-23,3377.95,3402,3371.85,3380.75,,3505.397545,3419.346723,,-86.05082145,-81.96024854,-4.090572916,,FALSE,FALSE
07-Nov-23,3385,3404.55,3366.05,3370.1,,3495.375505,3411.770304,,-83.60520008,-82.28923885,-1.315961234,,FALSE,FALSE
06-Nov-23,3364,3393.65,3360,3385.35,,3487.225467,3407.705642,,-79.51982493,-81.73535606,2.215531134,,TRUE,FALSE
03-Nov-23,3387.4,3387.4,3345.95,3350.85,,3477.123581,3398.95862,,-78.16496035,-81.02127692,2.856316568,,FALSE,FALSE
02-Nov-23,3341.55,3375,3341.55,3359.95,,3468.444056,3392.957294,,-75.48676206,-79.91437395,4.427611887,,FALSE,FALSE
01-Nov-23,3354.75,3371.9,3313,3332.55,,3458.37783,3383.663864,,-74.71396554,-78.87429227,4.160326725,,FALSE,FALSE
31-Oct-23,3386.05,3398.3,3350.55,3368.2,,3451.697991,3381.284808,,-70.41318234,-77.18207028,6.768887944,,FALSE,FALSE
30-Oct-23,3354,3382.9,3333.25,3378.95,,3446.309251,3380.925607,,-65.38364356,-74.82238494,9.438741376,,FALSE,FALSE
27-Oct-23,3357.9,3363.05,3338.5,3350.55,,3439.215973,3376.252437,,-62.96353605,-72.45061516,9.487079113,,FALSE,FALSE
26-Oct-23,3369.85,3372.5,3330.4,3337.75,,3431.699975,3370.328985,,-61.37098986,-70.2346901,8.863700239,,FALSE,FALSE
25-Oct-23,3399.95,3425.9,3377,3389.85,,3428.599977,3373.332218,,-55.26775864,-67.24130381,11.97354517,,FALSE,FALSE
23-Oct-23,3475,3480.1,3401.7,3409,,3427.148126,3378.819569,,-48.32855743,-63.45875453,15.1301971,,FALSE,FALSE
20-Oct-23,3454.7,3500.45,3444.05,3494.25,,3432.118636,3396.578097,,-35.54053875,-57.87511138,22.33457263,,FALSE,FALSE
