"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"26-Aug-2021","     8865.95","     8880.35","     8792.85","     8812.15","-","-"
"27-Aug-2021","     8824.15","     8926.15","     8800.95","     8914.50","-","-"
"30-Aug-2021","     8931.65","     9067.70","     8919.90","     9036.35","-","-"
"31-Aug-2021","     9058.50","     9171.15","     9053.75","     9163.25","-","-"
"01-Sep-2021","     9187.10","     9225.95","     9139.20","     9166.80","-","-"
"02-Sep-2021","     9193.35","     9262.95","     9189.40","     9219.30","-","-"
"03-Sep-2021","     9253.60","     9275.15","     9182.95","     9229.60","-","-"
"06-Sep-2021","     9264.25","     9273.90","     9200.65","     9220.00","-","-"
"07-Sep-2021","     9235.75","     9237.85","     9120.55","     9151.10","-","-"
"08-Sep-2021","     9163.40","     9170.10","     9067.60","     9125.15","-","-"
"09-Sep-2021","     9103.00","     9110.55","     9070.80","     9106.30","-","-"
"13-Sep-2021","     9113.90","     9145.55","     9085.05","     9134.55","-","-"
"14-Sep-2021","     9172.20","     9203.10","     9140.45","     9162.05","-","-"
"15-Sep-2021","     9195.25","     9218.25","     9166.15","     9208.20","-","-"
"16-Sep-2021","     9222.55","     9245.45","     9183.80","     9200.05","-","-"
"17-Sep-2021","     9228.60","     9232.05","     9072.40","     9106.00","-","-"
"20-Sep-2021","     9053.45","     9091.85","     8913.30","     8944.70","-","-"
"21-Sep-2021","     8937.05","     9042.75","     8876.60","     9031.00","-","-"
"22-Sep-2021","     9039.05","     9090.35","     9026.50","     9066.10","-","-"
"23-Sep-2021","     9106.85","     9144.65","     9073.85","     9135.00","-","-"
"24-Sep-2021","     9163.80","     9186.00","     8977.20","     8998.75","-","-"
"27-Sep-2021","     9007.35","     9017.35","     8855.55","     8885.50","-","-"
"28-Sep-2021","     8906.65","     8908.25","     8751.40","     8842.20","-","-"
"29-Sep-2021","     8851.30","     9006.65","     8841.95","     8945.30","-","-"
"30-Sep-2021","     8964.00","     9055.60","     8935.35","     8978.40","-","-"
"01-Oct-2021","     8951.65","     9046.00","     8931.05","     9034.10","-","-"
"04-Oct-2021","     9060.15","     9219.95","     9057.15","     9163.30","-","-"
"05-Oct-2021","     9169.40","     9182.35","     9030.60","     9098.30","-","-"
"06-Oct-2021","     9106.00","     9112.05","     8916.15","     8932.30","-","-"
"07-Oct-2021","     8994.65","     9021.10","     8957.10","     9001.20","-","-"
"08-Oct-2021","     9039.40","     9055.70","     8939.00","     8968.30","-","-"
"11-Oct-2021","     9010.55","     9057.60","     8961.85","     9031.70","-","-"
"12-Oct-2021","     9040.55","     9084.70","     8964.60","     9037.35","-","-"
"13-Oct-2021","     9070.90","     9102.55","     9035.00","     9074.80","-","-"
"14-Oct-2021","     9095.55","     9136.95","     9075.00","     9087.60","-","-"
"18-Oct-2021","     9133.25","     9142.15","     8996.45","     9013.30","-","-"
"19-Oct-2021","     9037.60","     9071.80","     8885.20","     8900.40","-","-"
"20-Oct-2021","     8887.45","     8917.75","     8731.55","     8767.95","-","-"
"21-Oct-2021","     8843.30","     8849.70","     8665.90","     8748.95","-","-"
"22-Oct-2021","     8778.60","     8783.05","     8551.10","     8594.30","-","-"
"25-Oct-2021","     8599.40","     8643.45","     8410.00","     8618.45","-","-"
"26-Oct-2021","     8650.35","     8700.85","     8616.40","     8676.75","-","-"
"27-Oct-2021","     8695.65","     8811.80","     8689.30","     8746.55","-","-"
"28-Oct-2021","     8745.45","     8769.65","     8538.65","     8572.40","-","-"
"29-Oct-2021","     8542.25","     8754.00","     8447.65","     8612.75","-","-"
"01-Nov-2021","     8658.15","     8751.90","     8593.60","     8735.90","-","-"
"02-Nov-2021","     8744.50","     8750.10","     8619.10","     8685.60","-","-"
"03-Nov-2021","     8709.25","     8724.05","     8607.45","     8652.95","-","-"
"04-Nov-2021","     8700.45","     8702.15","     8680.95","     8690.90","-","-"
"08-Nov-2021","     8672.75","     8675.60","     8513.90","     8634.95","-","-"
"09-Nov-2021","     8676.85","     8764.55","     8651.45","     8678.05","-","-"
"10-Nov-2021","     8660.50","     8729.35","     8645.65","     8703.85","-","-"
"11-Nov-2021","     8686.85","     8692.00","     8575.15","     8595.85","-","-"
"12-Nov-2021","     8656.95","     8675.40","     8580.15","     8662.95","-","-"
"15-Nov-2021","     8696.75","     8869.35","     8692.90","     8847.25","-","-"
"16-Nov-2021","     8867.85","     8871.10","     8737.55","     8749.50","-","-"
"17-Nov-2021","     8745.15","     8852.05","     8715.10","     8771.80","-","-"
"18-Nov-2021","     8759.10","     8769.80","     8611.55","     8663.60","-","-"
"22-Nov-2021","     8679.25","     8687.00","     8429.70","     8472.40","-","-"
"23-Nov-2021","     8443.50","     8642.95","     8407.70","     8617.85","-","-"
"24-Nov-2021","     8633.30","     8640.35","     8545.90","     8566.15","-","-"
"25-Nov-2021","     8567.20","     8721.40","     8538.45","     8703.40","-","-"
"26-Nov-2021","     8659.20","     8961.65","     8643.80","     8855.80","-","-"
"29-Nov-2021","     8947.50","     9003.10","     8751.35","     8788.85","-","-"
"30-Nov-2021","     8798.75","     8875.95","     8734.60","     8792.05","-","-"
"01-Dec-2021","     8831.35","     8864.10","     8598.30","     8628.55","-","-"
"02-Dec-2021","     8678.25","     8747.50","     8662.75","     8704.60","-","-"
"03-Dec-2021","     8736.95","     8745.70","     8593.40","     8602.30","-","-"
"06-Dec-2021","     8623.65","     8625.75","     8421.75","     8440.00","-","-"
"07-Dec-2021","     8465.60","     8496.30","     8388.30","     8459.60","-","-"
